"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Calculator API","1","Tests d'intégration","2","0","Opérations combinées","0"
"0","Calculator API","1","Opérations avancées et edge cases","3","0","Puissance","0"
"0","Calculator API","0","Opérations arithmétiques de base","3","0","Multiplication","0"
"0","Calculator API","0","Tests de stress et performance","2","0","Robustesse","0"
"0","Calculator API","0","Opérations avancées et edge cases","4","0","Racine carrée","0"
"0","Calculator API","0","Tests d'intégration","3","0","Edge Cases","0"
"0","Calculator API","0","Opérations arithmétiques de base","2","0","Soustraction","0"
"0","Calculator API","0","Opérations arithmétiques de base","2","0","Performance","0"
"0","Calculator API","1","Opérations avancées et edge cases","3","0","Factorielle","0"
"0","Calculator API","1","Opérations arithmétiques de base","3","0","Division","0"
"0","Calculator API","0","Tests d'intégration","2","0","Performance","0"
"0","Calculator API","1","Tests de stress et performance","1","0","Charge","0"
"0","Calculator API","0","Tests de stress et performance","2","0","Performance","0"
"0","Calculator API","0","Opérations arithmétiques de base","4","0","Addition","0"
