"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test réussi avec opérations chaînées","0","Chaîne d'opérations complexes","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Puissance de nombres positifs","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","1","Multiplication de nombres négatifs","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Multiplication de nombres positifs","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"Test réussi avec valeurs limites","0","Robustesse avec valeurs limites","tests","2026-01-22","passed","2026-01-22","TestCalculatorStress","test_calculator_stress","",""
"","0","Racine carrée d'un nombre négatif - exception","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"Ce test peut échouer à cause de la précision des float","0","Vérification de précision décimale - ÉCHEC","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Soustraction avec résultat négatif","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","500","Test lent simulé (> 500ms)","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"Ce test échoue - bug dans l'assertion","1","Puissance avec base négative - assertion incorrecte","tests","2026-01-22","failed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Factorielle de nombres positifs","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","1","Division par zéro - doit échouer","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Division normale","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Factorielle d'un nombre négatif - exception","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"Test rapide d'intégration","1","Test d'intégration rapide","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"Test réussi avec plusieurs opérations","0","Plusieurs additions rapides","tests","2026-01-22","passed","2026-01-22","TestCalculatorStress","test_calculator_stress","",""
"Ce test échoue intentionnellement pour démontrer les rapports d'échec","0","Division avec vérification incorrecte - ÉCHEC","tests","2026-01-22","failed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"Test lent simulant un calcul complexe","300","Test d'intégration lent","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Puissance négative","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","1","Opérations avec très grands nombres","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Division décimale","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","1","Opérations avec très petits nombres","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"Test qui prend du temps","800","Test de performance lent - dépasse le timeout","tests","2026-01-22","passed","2026-01-22","TestCalculatorStress","test_calculator_stress","",""
"Test réussi combinant sqrt et power","0","Calcul avec racine et puissance","tests","2026-01-22","passed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"Ce test échoue - logique incorrecte","0","Calcul incorrect - ÉCHEC","tests","2026-01-22","failed","2026-01-22","TestCalculatorIntegration","test_calculator_integration","",""
"","0","Addition de deux nombres positifs","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Addition avec zéro","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Racine carrée de zéro","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Puissance à la zéro","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","1","Racine carrée d'un nombre positif","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Addition nombres décimaux","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","1","Factorielle de zéro","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"","0","Addition de nombres négatifs","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Soustraction basique","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"Test réussi de performance","1","Performance avec factorielles","tests","2026-01-22","passed","2026-01-22","TestCalculatorStress","test_calculator_stress","",""
"Ce test échoue intentionnellement","1","Factorielle de 10 - vérification incorrecte","tests","2026-01-22","failed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
"Ce test échoue - vérification trop stricte","0","Vérification robustesse - assertion trop stricte","tests","2026-01-22","passed","2026-01-22","TestCalculatorStress","test_calculator_stress","",""
"Ce test échoue à la fin","0","Boucle de calculs - assertion finale incorrecte","tests","2026-01-22","failed","2026-01-22","TestCalculatorStress","test_calculator_stress","",""
"","1","Test rapide (< 100ms)","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"","0","Multiplication par zéro","tests","2026-01-22","passed","2026-01-22","TestCalculatorBasic","test_calculator","",""
"Ce test échoue - précision incorrecte","0","Racine carrée décimale - assertion incorrecte","tests","2026-01-22","passed","2026-01-22","TestCalculatorAdvanced","test_calculator_advanced","",""
